ID,Area,Mean,Min,Max,X,Y
549,0,55,55,55,555.333,418
550,0,44,44,44,578.667,418
551,0,33,33,33,571.333,408.667
552,0,22,22,22,561.333,446
553,0,25,25,25,544,434
554,0,23,23,23,556.667,431.333
555,0,36,36,36,519.333,448
556,0,48,48,48,514,440
557,0,32,32,32,512.667,419.333
558,0,73,73,73,519.333,374
559,0,18,18,18,516,478.667
560,0,21,21,21,463.333,462
561,0,30,30,30,459.333,402
562,0,37,37,37,468.667,392
563,0,49,49,49,473.333,386.667
564,0,43,43,43,500,387.333
565,0,27,27,27,494.667,371.333
566,0,39,39,39,473.333,334
567,0,39,39,39,484.667,322.667
568,0,39,39,39,452,337.333
569,0,22,22,22,474.667,350
570,0,32,32,32,464.667,360
571,0,25,25,25,468.667,377.333
572,0,43,43,43,457.333,374.667
573,0,72,72,72,456,286
574,0,38,38,38,480,310
575,0,54,54,54,486.667,297.333
576,0,46,46,46,498.667,312
577,0,66,66,66,506.667,306
578,0,106,106,106,527.333,327.333
579,0,31,31,31,504.667,328
580,0,28,28,28,512.667,331.333
581,0,46,46,46,534,348
582,0,30,30,30,519.333,350
583,0,53,53,53,551.333,360
584,0,35,35,35,536,387.333
585,0,36,36,36,552,381.333
586,0,39,39,39,568,374
587,0,40,40,40,568.667,364
588,0,48,48,48,575.333,340
589,0,47,47,47,563.333,342
590,0,29,29,29,571.333,329.333
591,0,28,28,28,565.333,324
592,0,45,45,45,552.667,306
593,0,32,32,32,543.333,304
594,0,50,50,50,540.667,292.667
595,0,46,46,46,556,280
596,0,43,43,43,570.667,274
597,0,45,45,45,573.333,261.333
598,0,48,48,48,567.333,256
599,0,36,36,36,578,251.333
600,0,31,31,31,558.667,242.667
601,0,46,46,46,556.667,234.667
602,0,44,44,44,543.333,243.333
603,0,40,40,40,520.667,236
604,0,43,43,43,509.333,262.667
605,0,27,27,27,510,249.333
606,0,32,32,32,496,272
607,0,30,30,30,491.333,279.333
608,0,50,50,50,497.333,288
609,0,42,42,42,470.667,272
610,0,33,33,33,683.333,149.333
611,0,23,23,23,706,157.333
612,0,19,19,19,710,144
613,0,22,22,22,706,131.333
