 ,Area,Mean,Min,Max,X,Y
2211,0,93,93,93,444.333,907.333
2212,0,49,49,49,425.667,902.000
2213,0,40,40,40,441.667,896.000
2214,0,50,50,50,447.667,888.000
2215,0,47,47,47,449.000,870.000
2216,0,64,64,64,437.000,864.667
2217,0,37,37,37,419.667,866.667
2218,0,14,14,14,419.000,880.000
2219,0,72,72,72,405.000,873.333
2220,0,44,44,44,401.000,879.333
2221,0,38,38,38,410.333,890.667
2222,0,106,106,106,399.000,851.500
2223,0,72,72,72,386.500,858.500
2224,0,47,47,47,409.500,861.500
2225,0,58,58,58,387.000,879.000
2226,0,52,52,52,372.500,851.500
2227,0,80,80,80,382.500,844.500
2228,0,38,38,38,356.500,844.000
2229,0,59,59,59,341.500,826.500
2230,0,61,61,61,336.500,834.500
2231,0,63,63,63,324.500,834.500
2232,0,60,60,60,319.500,839.500
2233,0,64,64,64,320.000,848.500
2234,0,50,50,50,310.000,845.000
2235,0,60,60,60,303.000,859.500
2236,0,83,83,83,309.500,868.000
2237,0,53,53,53,300.500,881.000
2238,0,40,40,40,313.000,882.500
2239,0,70,70,70,327.500,868.500
2240,0,57,57,57,332.500,880.000
2241,0,70,70,70,347.000,876.500
2242,0,72,72,72,354.500,886.000
2243,0,64,64,64,357.500,893.000
2244,0,52,52,52,357.000,871.500
2245,0,69,69,69,344.500,865.500
2246,0,36,36,36,362.000,861.000
2247,0,94,94,94,315.000,800.000
2248,0,52,52,52,324.000,818.500
2249,0,52,52,52,308.500,789.000
2250,0,78,78,78,301.000,792.500
2251,0,66,66,66,297.000,781.000
2252,0,83,83,83,287.000,779.000
2253,0,78,78,78,281.000,768.500
2254,0,93,93,93,274.500,758.500
2255,0,91,91,91,255.000,736.500
2256,0,64,64,64,246.500,718.000
2257,0,88,88,88,280.667,840.667
2258,0,92,92,92,265.333,863.333
2259,0,46,46,46,282.667,862.667
2260,0,64,64,64,290.667,868.000
2261,0,97,97,97,210.000,873.333
2262,0,86,86,86,190.667,899.333
2263,0,89,89,89,222.667,906.667
2264,0,79,79,79,222.667,915.333
2265,0,81,81,81,208.000,912.000
2266,0,68,68,68,223.333,888.000
2267,0,65,65,65,206.000,888.000
2268,0,65,65,65,239.333,868.667
2269,0,85,85,85,262.667,914.000
2270,0,28,28,28,261.333,930.000
2271,0,72,72,72,275.333,941.333
2272,0,28,28,28,252.000,936.000
2273,0,26,26,26,263.333,958.667
2274,0,48,48,48,249.333,962.667
2275,0,55,55,55,234.667,980.000
2276,0,53,53,53,214.000,982.000
2277,0,55,55,55,208.000,1001.333
2278,0,77,77,77,210.000,966.667
2279,0,69,69,69,223.333,966.000
2280,0,50,50,50,209.000,938.500
2281,0,59,59,59,201.000,935.000
2282,0,40,40,40,199.000,928.000
2283,0,60,60,60,194.000,935.500
2284,0,59,59,59,191.000,917.500
2285,0,86,86,86,193.500,887.000
2286,0,66,66,66,214.500,903.000
2287,0,48,48,48,182.000,961.000
2288,0,55,55,55,196.000,985.000
2289,0,67,67,67,206.500,955.500
2290,0,49,49,49,200.500,952.500
2291,0,34,34,34,234.000,935.000
2292,0,54,54,54,581.333,992.000
2293,0,67,67,67,592.000,1010.667
2294,0,64,64,64,608.000,1018.667
2295,0,58,58,58,261.000,295.000
2296,0,41,41,41,280.000,299.500
2297,0,28,28,28,287.000,285.000
2298,0,43,43,43,251.500,273.000
2299,0,45,45,45,236.500,261.500
2300,0,47,47,47,243.500,255.500
2301,0,48,48,48,218.000,274.000
2302,0,46,46,46,214.500,267.000
2303,0,33,33,33,197.000,263.000
2304,0,62,62,62,226.000,298.500
2305,0,49,49,49,195.000,290.000
2306,0,36,36,36,180.500,289.500
2307,0,20,20,20,139.500,281.000
2308,0,35,35,35,143.500,291.000
2309,0,26,26,26,123.500,312.000
2310,0,48,48,48,159.000,317.500
2311,0,79,79,79,167.500,328.500
2312,0,30,30,30,172.000,315.000
2313,0,38,38,38,172.500,337.000
2314,0,54,54,54,127.000,330.000
2315,0,53,53,53,142.000,378.000
2316,0,45,45,45,139.500,363.500
2317,0,25,25,25,128.000,370.000
2318,0,22,22,22,139.500,392.000
2319,0,34,34,34,165.500,357.500
2320,0,38,38,38,369.500,297.500
2321,0,47,47,47,379.500,291.000
2322,0,22,22,22,403.000,292.500
2323,0,44,44,44,412.000,282.000
2324,0,39,39,39,429.000,289.500
2325,0,28,28,28,427.500,271.000
2326,0,29,29,29,338.000,293.000
2327,0,50,50,50,337.000,274.000
2328,0,43,43,43,308.000,283.500
2329,0,33,33,33,312.000,258.500
2330,0,34,34,34,317.500,250.500
2331,0,38,38,38,333.000,248.500
2332,0,40,40,40,260.000,242.000
2333,0,33,33,33,261.000,254.500
2334,0,41,41,41,368.000,243.500
2335,0,23,23,23,347.500,247.000
2336,0,34,34,34,387.500,238.500
2337,0,36,36,36,410.500,238.000
2338,0,33,33,33,404.500,250.000
2339,0,28,28,28,404.500,260.500
2340,0,22,22,22,395.500,263.500
2341,0,28,28,28,366.000,264.500
2342,0,27,27,27,447.000,267.000
2343,0,36,36,36,449.500,255.000
2344,0,29,29,29,445.000,243.500
2345,0,51,51,51,440.000,238.000
2346,0,46,46,46,442.500,224.500
2347,0,33,33,33,445.000,210.500
2348,0,30,30,30,433.500,210.500
2349,0,42,42,42,441.000,191.000
2350,0,56,56,56,442.000,182.500
2351,0,35,35,35,440.500,167.500
2352,0,47,47,47,6.500,404.500
2353,0,40,40,40,23.500,389.500
2354,0,28,28,28,24.000,382.500
2355,0,37,37,37,23.500,361.000
2356,0,30,30,30,11.500,341.500
2357,0,32,32,32,23.000,327.500
2358,0,41,41,41,36.000,340.000
2359,0,51,51,51,24.000,307.000
2360,0,44,44,44,34.000,301.000
2361,0,65,65,65,11.500,278.000
2362,0,47,47,47,24.500,276.000
2363,0,44,44,44,40.000,269.000
2364,0,47,47,47,22.000,253.500
2365,0,37,37,37,20.000,248.500
2366,0,48,48,48,12.000,249.000
2367,0,34,34,34,5.000,250.000
2368,0,30,30,30,21.500,221.000
2369,0,36,36,36,25.500,213.500
2370,0,32,32,32,58.000,256.000
2371,0,34,34,34,66.500,267.500
2372,0,44,44,44,84.500,266.000
2373,0,36,36,36,76.500,249.500
2374,0,38,38,38,71.000,225.500
2375,0,42,42,42,55.500,210.000
2376,0,41,41,41,41.000,198.500
2377,0,78,78,78,56.500,192.000
2378,0,47,47,47,64.500,198.500
2379,0,59,59,59,80.500,186.500
2380,0,58,58,58,108.000,209.000
2381,0,32,32,32,105.000,244.000
2382,0,34,34,34,126.000,246.000
2383,0,41,41,41,129.500,230.500
2384,0,48,48,48,133.500,226.000
2385,0,45,45,45,141.500,212.500
2386,0,43,43,43,141.500,206.000
2387,0,26,26,26,151.000,221.500
2388,0,26,26,26,150.000,230.500
2389,0,35,35,35,158.500,218.000
2390,0,45,45,45,169.000,230.500
2391,0,32,32,32,179.500,237.000
2392,0,34,34,34,188.000,230.500
2393,0,39,39,39,215.500,227.000
2394,0,56,56,56,191.000,209.500
2395,0,69,69,69,196.000,202.500
2396,0,41,41,41,219.000,204.000
2397,0,30,30,30,219.500,190.000
2398,0,32,32,32,183.000,184.000
2399,0,26,26,26,169.000,198.500
2400,0,41,41,41,161.500,190.000
2401,0,29,29,29,97.500,197.000
2402,0,32,32,32,100.000,182.000
2403,0,42,42,42,90.000,164.500
2404,0,50,50,50,108.500,165.000
2405,0,52,52,52,120.000,167.500
2406,0,54,54,54,118.500,158.500
2407,0,24,24,24,97.000,144.000
2408,0,40,40,40,50.500,169.000
2409,0,30,30,30,73.000,178.000
2410,0,52,52,52,37.000,199.000
2411,0,50,50,50,14.000,180.500
2412,0,48,48,48,13.500,158.000
2413,0,25,25,25,34.500,172.500
2414,0,38,38,38,31.500,159.500
2415,0,43,43,43,17.000,121.500
2416,0,30,30,30,7.500,119.000
2417,0,31,31,31,21.000,108.000
2418,0,49,49,49,11.000,99.500
2419,0,55,55,55,33.000,76.500
2420,0,35,35,35,43.000,93.500
2421,0,20,20,20,59.000,114.000
2422,0,28,28,28,68.500,100.000
2423,0,31,31,31,67.500,85.500
2424,0,24,24,24,57.000,72.500
2425,0,41,41,41,37.500,55.000
2426,0,32,32,32,50.000,49.500
2427,0,45,45,45,94.500,67.500
2428,0,34,34,34,83.000,46.000
2429,0,42,42,42,88.000,82.500
2430,0,37,37,37,88.500,90.500
2431,0,31,31,31,104.000,78.500
2432,0,51,51,51,118.000,69.500
2433,0,42,42,42,115.500,90.500
2434,0,39,39,39,126.500,105.500
2435,0,31,31,31,86.500,123.000
2436,0,33,33,33,163.500,129.000
2437,0,41,41,41,154.500,134.500
2438,0,50,50,50,164.500,137.500
2439,0,29,29,29,151.000,141.000
2440,0,23,23,23,165.500,152.000
2441,0,39,39,39,174.500,155.500
2442,0,25,25,25,159.000,165.500
2443,0,22,22,22,148.000,179.500
2444,0,30,30,30,195.000,170.000
2445,0,44,44,44,205.000,177.000
2446,0,53,53,53,206.000,164.500
2447,0,45,45,45,210.000,156.500
2448,0,31,31,31,209.000,139.500
2449,0,126,126,126,179.000,124.500
2450,0,38,38,38,185.500,117.000
2451,0,50,50,50,200.000,117.000
2452,0,39,39,39,200.000,105.000
2453,0,36,36,36,196.000,79.500
2454,0,24,24,24,191.500,94.000
2455,0,42,42,42,150.500,112.000
2456,0,57,57,57,154.000,82.000
2457,0,38,38,38,160.500,77.500
2458,0,37,37,37,156.500,60.000
2459,0,38,38,38,149.000,48.500
2460,0,22,22,22,140.000,59.500
2461,0,32,32,32,141.333,86.667
2462,0,48,48,48,189.333,63.667
2463,0,37,37,37,159.333,37.333
2464,0,35,35,35,182.000,34.667
2465,0,53,53,53,184.667,41.333
2466,0,29,29,29,173.667,71.333
2467,0,48,48,48,63.667,37.667
2468,0,65,65,65,48.333,17.667
2469,0,38,38,38,82.667,11.667
2470,0,35,35,35,24.333,47.667
2471,0,57,57,57,100.000,2.667
2472,0,23,23,23,95.000,24.000
2473,0,42,42,42,131.333,12.000
2474,0,36,36,36,146.000,13.333
2475,0,47,47,47,153.000,23.333
